phase,date,species,alive,trap_site,arm,trap_type,trap_position,fence_colour,recapture,site_of_first_capture,size_class,truncated_tail
pre-treatment,2005-11-18,Trachylepis capensis,alive,D1,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-21,Trachylepis capensis,dead,13A,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-21,Trachylepis capensis,alive,13B,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-21,Trachylepis capensis,alive,13B,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,dead,Z2,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,alive,6C,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Trachylepis capensis,alive,6C,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,alive,6C,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Trachylepis capensis,alive,6B,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,alive,6B,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,dead,Z1,0,bucket,NA,NA,yes,Z1,juvenile,NA
pre-treatment,2005-11-22,Trachylepis capensis,dead,6A,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-22,Trachylepis capensis,alive,D1,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,alive,D2,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-24,Gerrhosaurus flavigularis,alive,6A,1,funnel,2,black,no,NA,adult,NA
pre-treatment,2005-11-25,Trachylepis capensis,alive,Z3,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-25,Trachylepis capensis,alive,6C,3,bucket,NA,NA,yes,6C,adult,NA
pre-treatment,2005-11-29,Gerrhosaurus flavigularis,alive,13B,1,funnel,4,blue,no,NA,juvenile,NA
pre-treatment,2005-12-01,Trachylepis capensis,alive,D2,2,funnel,3,black,no,NA,adult,yes
pre-treatment,2005-12-04,Gerrhosaurus flavigularis,alive,13A,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-04,Bitis arietans arietans,alive,13A,4,funnel,8,black,NA,NA,juvenile,NA
pre-treatment,2005-12-04,Trachylepis capensis,alive,13B,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-04,Gerrhosaurus flavigularis,alive,13C,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-04,Agama aculeata distanti,alive,D1,2,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-12-04,Trachylepis capensis,alive,D2,4,bucket,NA,NA,yes,D2,adult,NA
pre-treatment,2005-12-04,Trachylepis capensis,alive,D3,3,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-12-04,Trachylepis capensis,alive,D3,3,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-12-04,Trachylepis capensis,alive,D3,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-04,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-05,Typhlops bibronii,alive,6A,1,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-12-05,Gerrhosaurus flavigularis,alive,Z3,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-05,Trachylepis capensis,alive,13A,1,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-12-06,Gerrhosaurus flavigularis,alive,6C,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-06,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-06,Gerrhosaurus flavigularis,alive,Z1,1,funnel,1,blue,no,NA,juvenile,NA
pre-treatment,2005-12-07,Gerrhosaurus flavigularis,alive,13A,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-08,Trachylepis varia,alive,D1,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-12-08,Gerrhosaurus flavigularis,alive,D3,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-08,Trachylepis capensis,alive,Z3,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-08,Trachylepis capensis,alive,Z3,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-08,Gerrhosaurus flavigularis,dead,Z2,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-08,Gerrhosaurus flavigularis,alive,6A,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-08,Trachylepis capensis,alive,D1,4,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-12-08,Trachylepis capensis,alive,6A,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-09,Gerrhosaurus flavigularis,alive,6A,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-12,Gerrhosaurus flavigularis,alive,13C,0,bucket,NA,NA,yes,13C,adult,NA
pre-treatment,2005-12-12,Trachylepis capensis,alive,D3,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-12,Trachylepis capensis,alive,Z1,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-12,Gerrhosaurus flavigularis,alive,6C,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-12,Trachylepis capensis,alive,6C,2,bucket,NA,NA,yes,6B,adult,NA
pre-treatment,2005-12-12,Gerrhosaurus flavigularis,alive,6C,3,funnel,6,blue,no,NA,juvenile,NA
pre-treatment,2005-12-12,Trachylepis varia,alive,6B,1,funnel,2,blue,no,NA,juvenile,NA
pre-treatment,2005-12-12,Gerrhosaurus flavigularis,alive,6B,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-14,Dasypeltis scabra,alive,13C,2,funnel,3,blue,NA,NA,adult,NA
pre-treatment,2005-12-14,Dasypeltis scabra,alive,Z2,3,funnel,6,black,NA,NA,adult,NA
pre-treatment,2005-12-15,Trachylepis varia,alive,Z1,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-16,Trachylepis capensis,alive,6C,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-12-17,Causus rhombeatus,alive,D3,4,funnel,7,blue,NA,NA,juvenile,NA
pre-treatment,2005-12-17,Aparallactus capensis,alive,6B,3,funnel,6,blue,NA,NA,adult,NA
pre-treatment,2005-12-17,Trachylepis varia,alive,6A,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-17,Trachylepis varia,alive,6A,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-20,Trachylepis capensis,alive,D3,1,funnel,2,blue,yes,D3,adult,yes
pre-treatment,2005-12-20,Gerrhosaurus flavigularis,alive,Z2,3,funnel,5,blue,no,NA,juvenile,NA
pre-treatment,2005-12-20,Gerrhosaurus flavigularis,dead,Z1,2,funnel,4,black,no,NA,adult,NA
pre-treatment,2005-12-21,Duberria lutrix,alive,Z3,3,funnel,5,blue,NA,NA,adult,NA
pre-treatment,2005-12-22,Gerrhosaurus flavigularis,alive,13B,1,funnel,2,black,no,NA,adult,NA
pre-treatment,2005-12-22,Gerrhosaurus flavigularis,alive,13C,1,funnel,2,blue,yes,13C,adult,yes
pre-treatment,2005-12-22,Trachylepis capensis,alive,D1,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-22,Gerrhosaurus flavigularis,alive,D3,1,bucket,NA,NA,yes,D3,adult,NA
pre-treatment,2005-12-22,Gerrhosaurus flavigularis,alive,6C,3,bucket,NA,NA,yes,6C,adult,NA
pre-treatment,2005-12-23,Trachylepis varia,alive,D1,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-23,Gerrhosaurus flavigularis,alive,D3,3,funnel,5,black,no,NA,juvenile,NA
pre-treatment,2005-12-23,Typhlops bibronii,alive,Z3,0,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-12-27,Trachylepis capensis,alive,13C,0,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-12-27,Typhlops bibronii,alive,D2,0,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-12-27,Trachylepis capensis,dead,D3,2,funnel,3,blue,no,NA,adult,NA
pre-treatment,2005-12-27,Trachylepis capensis,alive,D3,2,funnel,3,blue,no,NA,adult,NA
pre-treatment,2005-12-27,Trachylepis capensis,alive,6C,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-29,Trachylepis capensis,alive,13B,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-29,Typhlops bibronii,alive,13C,4,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-12-29,Pseudaspis cana,alive,6B,2,funnel,4,blue,NA,NA,juvenile,NA
pre-treatment,2005-12-30,Trachylepis capensis,alive,D1,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-30,Trachylepis capensis,alive,D3,2,funnel,3,blue,yes,D3,adult,NA
pre-treatment,2005-12-31,Trachylepis varia,alive,6B,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2006-01-08,Bitis arietans arietans,alive,D2,2,funnel,4,blue,NA,NA,juvenile,NA
pre-treatment,2006-01-08,Bitis arietans arietans,alive,Z3,1,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2006-01-08,Gerrhosaurus flavigularis,alive,Z3,3,funnel,5,blue,no,NA,adult,NA
pre-treatment,2006-01-08,Trachylepis varia,alive,Z3,3,funnel,5,blue,no,NA,juvenile,NA
pre-treatment,2006-01-08,Trachylepis varia,alive,Z1,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2006-01-08,Gerrhosaurus flavigularis,dead,6A,1,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2006-01-11,Bitis arietans arietans,alive,13B,0,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2006-01-11,Gerrhosaurus flavigularis,alive,13C,0,bucket,NA,NA,yes,13C,adult,yes
pre-treatment,2006-01-12,Causus rhombeatus,alive,13A,1,funnel,1,blue,NA,NA,adult,NA
pre-treatment,2006-01-16,Typhlops bibronii,alive,13A,0,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2006-01-17,Gerrhosaurus flavigularis,alive,6A,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2006-01-17,Trachylepis capensis,dead,Z2,1,funnel,2,black,NA,NA,juvenile,NA
pre-treatment,2006-01-17,Trachylepis capensis,alive,D1,1,funnel,2,black,yes,D1,adult,NA
pre-treatment,2006-01-17,Trachylepis capensis,alive,6B,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2006-01-19,Panaspis wahlbergii,alive,13A,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-16,Trachylepis varia,dead,6A,1,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-02-16,Gerrhosaurus flavigularis,alive,6A,0,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-02-17,Aparallactus capensis,alive,13B,0,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-02-17,Pseudaspis cana,alive,D2,2,funnel,3,black,NA,NA,adult,NA
post-treatment,2006-02-17,Trachylepis capensis,dead,D3,0,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-02-17,Trachylepis capensis,alive,D3,0,bucket,NA,NA,yes,D3,adult,NA
post-treatment,2006-02-17,Trachylepis capensis,alive,D3,1,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-17,Trachylepis capensis,alive,Z3,1,funnel,1,black,no,NA,juvenile,NA
post-treatment,2006-02-17,Gerrhosaurus flavigularis,alive,Z2,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-17,Gerrhosaurus flavigularis,alive,Z2,4,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-17,Gerrhosaurus flavigularis,alive,6A,2,funnel,3,blue,no,NA,juvenile,NA
post-treatment,2006-02-17,Psammophis crucifer,alive,6A,1,funnel,2,black,NA,NA,adult,NA
post-treatment,2006-02-17,Gerrhosaurus flavigularis,alive,6C,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,D1,1,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,D1,1,funnel,1,blue,no,NA,adult,NA
post-treatment,2006-02-20,Trachylepis capensis,alive,D2,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Trachylepis capensis,alive,D2,2,bucket,NA,NA,yes,D2,adult,NA
post-treatment,2006-02-20,Trachylepis capensis,alive,D3,2,funnel,4,black,yes,D3,adult,NA
post-treatment,2006-02-20,Psammophis crucifer,alive,D3,2,funnel,4,black,NA,NA,adult,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,Z1,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,Z1,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,Z1,2,funnel,3,blue,yes,Z1,adult,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,Z1,3,funnel,5,black,no,NA,adult,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,Z1,4,funnel,7,blue,yes,Z1,adult,NA
post-treatment,2006-02-20,Psammophis crucifer,alive,6C,4,funnel,8,blue,NA,NA,adult,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Psammophis crucifer,alive,6A,1,funnel,2,black,NA,NA,juvenile,NA
post-treatment,2006-02-22,Trachylepis capensis,alive,D3,1,funnel,1,black,yes,D3,adult,NA
post-treatment,2006-02-22,Psammophis crucifer,alive,D3,4,funnel,7,blue,NA,NA,adult,NA
post-treatment,2006-02-22,Trachylepis varia,alive,6A,2,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-24,Psammophylax rhombeatus,alive,6A,3,funnel,5,black,NA,NA,adult,NA
post-treatment,2006-02-24,Gerrhosaurus flavigularis,alive,6A,3,funnel,5,black,yes,6A,adult,NA
post-treatment,2006-02-24,Trachylepis capensis,alive,Z2,2,funnel,4,black,no,NA,juvenile,NA
post-treatment,2006-02-28,Gerrhosaurus flavigularis,alive,6A,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-28,Trachylepis varia,alive,6A,3,funnel,5,black,no,NA,juvenile,NA
post-treatment,2006-02-28,Gerrhosaurus flavigularis,alive,6C,4,funnel,8,blue,NA,NA,adult,NA
post-treatment,2006-02-28,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-02-28,Panaspis wahlbergii,alive,6B,3,funnel,5,black,no,NA,adult,NA
post-treatment,2006-03-02,Lycophidion capense,alive,6A,4,funnel,7,blue,NA,NA,adult,NA
post-treatment,2006-03-02,Trachylepis capensis,alive,6C,2,funnel,4,black,no,NA,juvenile,NA
post-treatment,2006-03-02,Panaspis wahlbergii,alive,Z1,3,funnel,5,black,no,NA,adult,NA
post-treatment,2006-03-02,Panaspis wahlbergii,alive,Z1,1,funnel,1,blue,no,NA,adult,NA
post-treatment,2006-03-02,Psammophis crucifer,alive,Z2,1,funnel,2,black,NA,NA,adult,NA
post-treatment,2006-03-02,Psammophis crucifer,alive,D3,1,funnel,2,blue,NA,NA,juvenile,NA
post-treatment,2006-03-02,Trachylepis capensis,alive,D3,3,funnel,5,black,no,NA,juvenile,NA
post-treatment,2006-03-02,Trachylepis capensis,alive,D2,2,funnel,3,black,no,NA,adult,NA
post-treatment,2006-03-02,Psammophylax rhombeatus,alive,13B,3,funnel,6,blue,NA,NA,juvenile,NA
post-treatment,2006-03-03,Bitis arietans arietans,alive,6B,1,funnel,2,blue,NA,NA,juvenile,NA
post-treatment,2006-03-03,Pseudaspis cana,alive,6B,2,funnel,3,black,NA,NA,juvenile,NA
post-treatment,2006-03-03,Gerrhosaurus flavigularis,alive,Z3,2,funnel,4,black,no,NA,adult,NA
post-treatment,2006-03-03,Pseudaspis cana,alive,Z3,3,funnel,6,black,NA,NA,juvenile,NA
post-treatment,2006-03-03,Psammophis crucifer,alive,D3,2,funnel,4,black,NA,NA,adult,NA
post-treatment,2006-03-03,Gerrhosaurus flavigularis,alive,D1,4,funnel,8,blue,NA,NA,juvenile,NA
post-treatment,2006-03-06,Gerrhosaurus flavigularis,alive,6B,2,funnel,4,blue,no,NA,adult,NA
post-treatment,2006-03-06,Trachylepis capensis,alive,6C,1,funnel,2,blue,no,NA,adult,NA
post-treatment,2006-03-06,Gerrhosaurus flavigularis,alive,Z1,0,bucket,NA,NA,yes,Z1,adult,NA
post-treatment,2006-03-06,Panaspis wahlbergii,alive,Z1,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-06,Gerrhosaurus flavigularis,alive,Z1,3,funnel,6,blue,no,NA,adult,NA
post-treatment,2006-03-06,Gerrhosaurus flavigularis,alive,Z2,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-07,Hemachatus haemachatus,alive,6C,1,bucket,NA,NA,NA,NA,juvenile,NA
post-treatment,2006-03-07,Trachylepis capensis,alive,6C,4,funnel,8,blue,yes,6C,adult,NA
post-treatment,2006-03-08,Trachylepis capensis,alive,D2,1,funnel,1,black,no,NA,juvenile,NA
post-treatment,2006-03-08,Trachylepis capensis,alive,D2,1,funnel,2,blue,yes,D2,adult,NA
post-treatment,2006-03-08,Gerrhosaurus flavigularis,alive,D2,3,funnel,6,blue,no,NA,juvenile,NA
post-treatment,2006-03-08,Trachylepis varia,alive,Z3,4,funnel,8,black,no,NA,juvenile,NA
post-treatment,2006-03-08,Trachylepis varia,alive,Z3,4,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-03-08,Panaspis wahlbergii,alive,Z2,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-08,Hemachatus haemachatus,dead,6C,1,funnel,1,black,NA,NA,juvenile,NA
post-treatment,2006-03-08,Trachylepis capensis,alive,6C,4,funnel,7,black,yes,6C,adult,NA
post-treatment,2006-03-08,Psammophis crucifer,alive,6B,2,funnel,3,black,NA,NA,adult,NA
post-treatment,2006-03-08,Trachylepis capensis,alive,6B,4,funnel,8,blue,no,NA,adult,NA
post-treatment,2006-03-09,Gerrhosaurus flavigularis,alive,6A,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-09,Gerrhosaurus flavigularis,alive,Z1,2,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-09,Gerrhosaurus flavigularis,alive,Z2,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-10,Panaspis wahlbergii,alive,6C,0,bucket,NA,NA,NA,NA,juvenile,NA
post-treatment,2006-03-10,Trachylepis capensis,alive,6C,2,funnel,4,black,yes,6C,adult,NA
post-treatment,2006-03-10,Gerrhosaurus flavigularis,alive,6C,4,funnel,7,black,yes,6C,adult,NA
post-treatment,2006-03-10,Trachylepis capensis,alive,6A,3,funnel,5,black,NA,NA,adult,NA
post-treatment,2006-03-13,Trachylepis capensis,alive,D2,2,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-03-13,Gerrhosaurus flavigularis,alive,Z3,1,funnel,1,black,no,NA,juvenile,NA
post-treatment,2006-03-13,Gerrhosaurus flavigularis,alive,Z1,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-13,Gerrhosaurus flavigularis,alive,Z1,2,funnel,4,black,no,NA,juvenile,NA
