phase,date,species,alive,block,lat,long,trap_site,treatment,arm,trap_type,trap_position,fence_colour,recapture,site_of_first_capture,size_class,truncated_tail
pre-treatment,2005-08-29,Trachylepis capensis,alive,1,-26.500616666666666,28.288283333333332,13A,NA,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-08-29,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-08-29,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,2,funnel,3,black,no,NA,adult,yes
pre-treatment,2005-09-01,Trachylepis capensis,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,4,funnel,8,blue,no,NA,juvenile,NA
pre-treatment,2005-09-03,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,4,funnel,7,blue,no,NA,adult,NA
pre-treatment,2005-09-03,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,NA,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-09-05,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,yes,D1,juvenile,NA
pre-treatment,2005-09-05,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-05,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-05,Trachylepis capensis,alive,3,-26.542916666666667,28.227166666666665,Z3,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-05,Trachylepis varia,alive,2,-26.524166666666666,28.2735,D1,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-06,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,3,funnel,6,blue,no,NA,adult,NA
pre-treatment,2005-09-08,Lycophidion capense,dead,3,-26.542916666666667,28.227166666666665,Z3,NA,1,funnel,1,black,NA,NA,adult,NA
pre-treatment,2005-09-08,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,1,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-09-08,Trachylepis varia,alive,1,-26.504683333333332,28.2903,13C,NA,2,funnel,3,blue,no,NA,adult,NA
pre-treatment,2005-09-08,Trachylepis varia,alive,1,-26.504683333333332,28.2903,13C,NA,3,funnel,6,blue,no,NA,adult,NA
pre-treatment,2005-09-09,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,2,funnel,4,blue,no,NA,adult,NA
pre-treatment,2005-09-11,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,3,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-09-11,Trachylepis capensis,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,2,funnel,3,blue,no,NA,juvenile,NA
pre-treatment,2005-09-13,Panaspis wahlbergii,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-13,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-14,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-14,Trachylepis capensis,alive,1,-26.4976,28.2914,13B,NA,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-09-14,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,NA,4,funnel,8,black,no,NA,juvenile,NA
pre-treatment,2005-09-16,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,NA,4,funnel,8,black,no,NA,adult,yes
pre-treatment,2005-09-19,Trachylepis capensis,alive,1,-26.500616666666666,28.288283333333332,13A,NA,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-19,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-20,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-21,Psammophis crucifer,alive,1,-26.504683333333332,28.2903,13C,NA,4,funnel,8,blue,NA,NA,adult,NA
pre-treatment,2005-09-22,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,NA,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-23,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,NA,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-24,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-26,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-26,Gerrhosaurus flavigularis,alive,3,-26.542916666666667,28.227166666666665,Z3,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-26,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,NA,2,funnel,4,black,no,NA,adult,NA
pre-treatment,2005-09-27,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-09-29,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,NA,2,bucket,NA,NA,yes,Z1,juvenile,NA
pre-treatment,2005-09-29,Psammophis crucifer,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,4,funnel,8,blue,NA,NA,juvenile,NA
pre-treatment,2005-09-30,Pseudaspis cana,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,2,funnel,3,blue,NA,NA,juvenile,NA
pre-treatment,2005-10-01,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-01,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-01,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,NA,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-01,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-02,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-03,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,3,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-03,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-03,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-03,Leptotyphlops sp.,alive,4,-26.547416666666667,28.207066666666666,6C,NA,0,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2005-10-03,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-03,Trachylepis capensis,alive,1,-26.4976,28.2914,13B,NA,1,bucket,NA,NA,yes,13B,adult,yes
pre-treatment,2005-10-04,Agama aculeata distanti,alive,1,-26.500616666666666,28.288283333333332,13A,NA,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-04,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-04,Trachylepis varia,alive,2,-26.524166666666666,28.2735,D1,NA,2,funnel,3,blue,no,NA,adult,NA
pre-treatment,2005-10-04,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,0,bucket,NA,NA,yes,D3,adult,NA
pre-treatment,2005-10-04,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-04,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-05,Trachylepis capensis,alive,1,-26.500616666666666,28.288283333333332,13A,NA,4,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-05,Leptotyphlops sp.,alive,2,-26.52391666666667,28.26931666666667,D2,NA,0,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-10-05,Gerrhosaurus flavigularis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-05,Leptotyphlops sp.,alive,2,-26.52485,28.2665,D3,NA,1,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2005-10-05,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-05,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-05,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,NA,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-06,Leptotyphlops sp.,alive,2,-26.52391666666667,28.26931666666667,D2,NA,1,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-10-06,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-07,Lycophidion capense,alive,1,-26.504683333333332,28.2903,13C,NA,4,funnel,8,blue,NA,NA,juvenile,NA
pre-treatment,2005-10-07,Leptotyphlops sp.,alive,2,-26.52391666666667,28.26931666666667,D2,NA,4,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-10-10,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-10,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-10,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-10,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-10,Trachylepis capensis,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-10,Gerrhosaurus flavigularis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-10,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-10,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-10,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-10,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-10,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,4,bucket,NA,NA,yes,13C,juvenile,NA
pre-treatment,2005-10-10,Trachylepis capensis,alive,1,-26.500616666666666,28.288283333333332,13A,NA,4,funnel,7,black,no,NA,juvenile,NA
pre-treatment,2005-10-11,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-11,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,1,bucket,NA,NA,yes,13C,adult,NA
pre-treatment,2005-10-11,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-11,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-11,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-11,Leptotyphlops sp.,alive,4,-26.548866666666665,28.203833333333332,6B,NA,4,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-10-12,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-12,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-12,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,2,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-12,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,4,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-12,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,1,bucket,NA,NA,yes,13C,adult,NA
pre-treatment,2005-10-13,Agama aculeata distanti,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-13,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,NA,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-13,Trachylepis capensis,dead,4,-26.548866666666665,28.203833333333332,6B,NA,3,funnel,5,black,no,NA,adult,NA
pre-treatment,2005-10-14,Trachylepis capensis,alive,1,-26.500616666666666,28.288283333333332,13A,NA,0,bucket,NA,NA,yes,13A,juvenile,yes
pre-treatment,2005-10-14,Agama aculeata distanti,alive,1,-26.500616666666666,28.288283333333332,13A,NA,1,bucket,NA,NA,yes,13A,juvenile,NA
pre-treatment,2005-10-14,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,4,bucket,NA,NA,yes,13C,adult,NA
pre-treatment,2005-10-14,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-17,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,1,funnel,2,blue,yes,13C,adult,NA
pre-treatment,2005-10-17,Agama atra atra,alive,1,-26.504683333333332,28.2903,13C,NA,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-17,Psammophis crucifer,alive,2,-26.524166666666666,28.2735,D1,NA,1,funnel,2,black,NA,NA,adult,NA
pre-treatment,2005-10-17,Agama aculeata distanti,dead,2,-26.524166666666666,28.2735,D1,NA,1,funnel,2,black,yes,D1,adult,NA
pre-treatment,2005-10-17,Gerrhosaurus flavigularis,alive,2,-26.52391666666667,28.26931666666667,D2,NA,4,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-17,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,NA,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-17,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,NA,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-17,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,3,funnel,5,black,no,NA,adult,NA
pre-treatment,2005-10-17,Trachylepis capensis,alive,4,-26.542333333333332,28.2002,6A,NA,2,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-10-17,Trachylepis varia,alive,4,-26.542333333333332,28.2002,6A,NA,2,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-10-17,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,NA,2,funnel,3,blue,no,NA,juvenile,yes
pre-treatment,2005-10-18,Trachylepis capensis,alive,1,-26.4976,28.2914,13B,NA,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-18,Psammophylax rhombeatus,alive,1,-26.504683333333332,28.2903,13C,NA,1,funnel,2,blue,NA,NA,adult,NA
pre-treatment,2005-10-18,Hemachatus haemachatus,alive,2,-26.524166666666666,28.2735,D1,NA,0,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2005-10-18,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,NA,3,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-18,Lamprophis aurora,alive,4,-26.547416666666667,28.207066666666666,6C,NA,2,funnel,4,black,NA,NA,adult,NA
pre-treatment,2005-10-19,Trachylepis varia,alive,4,-26.547416666666667,28.207066666666666,6C,NA,2,funnel,3,blue,no,NA,adult,NA
pre-treatment,2005-10-20,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,3,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-10-20,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-21,Psammophis crucifer,alive,1,-26.4976,28.2914,13B,NA,1,funnel,2,black,NA,NA,adult,NA
pre-treatment,2005-10-21,Psammophis crucifer,alive,1,-26.4976,28.2914,13B,NA,1,funnel,2,black,NA,NA,adult,NA
pre-treatment,2005-10-21,Lamprophis capensis,alive,1,-26.504683333333332,28.2903,13C,NA,0,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2005-10-21,Agama aculeata distanti,alive,2,-26.52485,28.2665,D3,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-21,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,NA,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-22,Hemachatus haemachatus,dead,1,-26.4976,28.2914,13B,NA,2,funnel,3,black,NA,NA,juvenile,NA
pre-treatment,2005-10-22,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,NA,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-22,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,1,funnel,2,blue,no,NA,juvenile,NA
pre-treatment,2005-10-23,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,NA,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-23,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,NA,4,funnel,8,black,yes,Z1,adult,yes
pre-treatment,2005-10-23,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-25,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,NA,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-25,Gerrhosaurus flavigularis,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-25,Gerrhosaurus flavigularis,alive,3,-26.543866666666666,28.215683333333335,Z2,NA,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-25,Psammophis crucifer,alive,4,-26.548866666666665,28.203833333333332,6B,NA,3,funnel,5,black,NA,NA,adult,NA
pre-treatment,2005-10-26,Agama aculeata distanti,alive,1,-26.500616666666666,28.288283333333332,13A,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-27,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,1,-26.4976,28.2914,13B,NA,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-28,Trachylepis capensis,alive,1,-26.4976,28.2914,13B,NA,4,funnel,7,black,yes,13B,adult,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,dead,2,-26.52485,28.2665,D3,NA,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,3,-26.542916666666667,28.227166666666665,Z3,NA,3,funnel,5,blue,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,3,funnel,6,blue,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,NA,4,funnel,8,blue,no,NA,adult,NA
pre-treatment,2005-10-29,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,NA,1,bucket,NA,NA,no,NA,adult,NA
