phase,date,species,alive,block,lat,long,trap_site,treatment,arm,trap_type,trap_position,fence_colour,recapture,site_of_first_capture,size_class,truncated_tail
post-treatment,2006-02-17,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,Control,0,bucket,NA,NA,yes,D3,adult,NA
post-treatment,2006-02-17,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,Control,1,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-17,Trachylepis capensis,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,1,funnel,1,black,no,NA,juvenile,NA
post-treatment,2006-02-17,Gerrhosaurus flavigularis,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-17,Gerrhosaurus flavigularis,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,4,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-17,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,Burnt,2,funnel,3,blue,no,NA,juvenile,NA
post-treatment,2006-02-17,Psammophis crucifer,alive,4,-26.542333333333332,28.2002,6A,Burnt,1,funnel,2,black,NA,NA,adult,NA
post-treatment,2006-02-17,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,2,-26.524166666666666,28.2735,D1,Burnt,1,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,2,-26.524166666666666,28.2735,D1,Burnt,1,funnel,1,blue,no,NA,adult,NA
post-treatment,2006-02-20,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,2,bucket,NA,NA,yes,D2,adult,NA
post-treatment,2006-02-20,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,Control,2,funnel,4,black,yes,D3,adult,NA
post-treatment,2006-02-20,Psammophis crucifer,alive,2,-26.52485,28.2665,D3,Control,2,funnel,4,black,NA,NA,adult,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,3,blue,yes,Z1,adult,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,3,funnel,5,black,no,NA,adult,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,4,funnel,7,blue,yes,Z1,adult,NA
post-treatment,2006-02-20,Psammophis crucifer,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,8,blue,NA,NA,adult,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-20,Psammophis crucifer,alive,4,-26.542333333333332,28.2002,6A,Burnt,1,funnel,2,black,NA,NA,juvenile,NA
post-treatment,2006-02-22,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,Control,1,funnel,1,black,yes,D3,adult,NA
post-treatment,2006-02-22,Psammophis crucifer,alive,2,-26.52485,28.2665,D3,Control,4,funnel,7,blue,NA,NA,adult,NA
post-treatment,2006-02-22,Trachylepis varia,alive,4,-26.542333333333332,28.2002,6A,Burnt,2,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-24,Psammophylax rhombeatus,alive,4,-26.542333333333332,28.2002,6A,Burnt,3,funnel,5,black,NA,NA,adult,NA
post-treatment,2006-02-24,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,Burnt,3,funnel,5,black,yes,6A,adult,NA
post-treatment,2006-02-24,Trachylepis capensis,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,2,funnel,4,black,no,NA,juvenile,NA
post-treatment,2006-02-28,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,Burnt,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-02-28,Trachylepis varia,alive,4,-26.542333333333332,28.2002,6A,Burnt,3,funnel,5,black,no,NA,juvenile,NA
post-treatment,2006-02-28,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,8,blue,NA,NA,adult,NA
post-treatment,2006-02-28,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,0,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-02-28,Panaspis wahlbergii,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,3,funnel,5,black,no,NA,adult,NA
post-treatment,2006-03-02,Lycophidion capense,alive,4,-26.542333333333332,28.2002,6A,Burnt,4,funnel,7,blue,NA,NA,adult,NA
post-treatment,2006-03-02,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,2,funnel,4,black,no,NA,juvenile,NA
post-treatment,2006-03-02,Panaspis wahlbergii,alive,3,-26.542866666666665,28.2101,Z1,Cut,3,funnel,5,black,no,NA,adult,NA
post-treatment,2006-03-02,Panaspis wahlbergii,alive,3,-26.542866666666665,28.2101,Z1,Cut,1,funnel,1,blue,no,NA,adult,NA
post-treatment,2006-03-02,Psammophis crucifer,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,1,funnel,2,black,NA,NA,adult,NA
post-treatment,2006-03-02,Psammophis crucifer,alive,2,-26.52485,28.2665,D3,Control,1,funnel,2,blue,NA,NA,juvenile,NA
post-treatment,2006-03-02,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,Control,3,funnel,5,black,no,NA,juvenile,NA
post-treatment,2006-03-02,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,2,funnel,3,black,no,NA,adult,NA
post-treatment,2006-03-02,Psammophylax rhombeatus,alive,1,-26.4976,28.2914,13B,Control,3,funnel,6,blue,NA,NA,juvenile,NA
post-treatment,2006-03-03,Bitis arietans arietans,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,1,funnel,2,blue,NA,NA,juvenile,NA
post-treatment,2006-03-03,Pseudaspis cana,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,2,funnel,3,black,NA,NA,juvenile,NA
post-treatment,2006-03-03,Gerrhosaurus flavigularis,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,2,funnel,4,black,no,NA,adult,NA
post-treatment,2006-03-03,Pseudaspis cana,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,3,funnel,6,black,NA,NA,juvenile,NA
post-treatment,2006-03-03,Psammophis crucifer,alive,2,-26.52485,28.2665,D3,Control,2,funnel,4,black,NA,NA,adult,NA
post-treatment,2006-03-03,Gerrhosaurus flavigularis,alive,2,-26.524166666666666,28.2735,D1,Burnt,4,funnel,8,blue,NA,NA,juvenile,NA
post-treatment,2006-03-06,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,2,funnel,4,blue,no,NA,adult,NA
post-treatment,2006-03-06,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,1,funnel,2,blue,no,NA,adult,NA
post-treatment,2006-03-06,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,0,bucket,NA,NA,yes,Z1,adult,NA
post-treatment,2006-03-06,Panaspis wahlbergii,alive,3,-26.542866666666665,28.2101,Z1,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-06,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,3,funnel,6,blue,no,NA,adult,NA
post-treatment,2006-03-06,Gerrhosaurus flavigularis,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-07,Hemachatus haemachatus,alive,4,-26.547416666666667,28.207066666666666,6C,Control,1,bucket,NA,NA,NA,NA,juvenile,NA
post-treatment,2006-03-07,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,8,blue,yes,6C,adult,NA
post-treatment,2006-03-08,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,1,funnel,1,black,no,NA,juvenile,NA
post-treatment,2006-03-08,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,1,funnel,2,blue,yes,D2,adult,NA
post-treatment,2006-03-08,Gerrhosaurus flavigularis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,3,funnel,6,blue,no,NA,juvenile,NA
post-treatment,2006-03-08,Trachylepis varia,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,4,funnel,8,black,no,NA,juvenile,NA
post-treatment,2006-03-08,Trachylepis varia,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,4,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-03-08,Panaspis wahlbergii,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-08,Hemachatus haemachatus,dead,4,-26.547416666666667,28.207066666666666,6C,Control,1,funnel,1,black,NA,NA,juvenile,NA
post-treatment,2006-03-08,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,7,black,yes,6C,adult,NA
post-treatment,2006-03-08,Psammophis crucifer,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,2,funnel,3,black,NA,NA,adult,NA
post-treatment,2006-03-08,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,funnel,8,blue,no,NA,adult,NA
post-treatment,2006-03-09,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,Burnt,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-09,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-09,Gerrhosaurus flavigularis,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-10,Panaspis wahlbergii,alive,4,-26.547416666666667,28.207066666666666,6C,Control,0,bucket,NA,NA,NA,NA,juvenile,NA
post-treatment,2006-03-10,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,2,funnel,4,black,yes,6C,adult,NA
post-treatment,2006-03-10,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,7,black,yes,6C,adult,NA
post-treatment,2006-03-10,Trachylepis capensis,alive,4,-26.542333333333332,28.2002,6A,Burnt,3,funnel,5,black,NA,NA,adult,NA
post-treatment,2006-03-13,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,2,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-03-13,Gerrhosaurus flavigularis,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,1,funnel,1,black,no,NA,juvenile,NA
post-treatment,2006-03-13,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-13,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,4,black,no,NA,juvenile,NA
post-treatment,2006-03-13,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,3,funnel,5,black,yes,Z1,adult,NA
post-treatment,2006-03-13,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-13,Trachylepis varia,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-03-15,Trachylepis capensis,alive,1,-26.500616666666666,28.288283333333332,13A,Cut,2,funnel,3,blue,no,NA,juvenile,NA
post-treatment,2006-03-15,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,7,black,yes,6C,juvenile,NA
post-treatment,2006-03-15,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,2,funnel,4,black,no,NA,juvenile,NA
post-treatment,2006-03-17,Trachylepis capensis,alive,1,-26.4976,28.2914,13B,Control,0,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-03-17,Psammophis crucifer,alive,1,-26.4976,28.2914,13B,Control,3,funnel,6,blue,NA,NA,adult,NA
post-treatment,2006-03-17,Panaspis wahlbergii,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,4,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-03-17,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,1,funnel,1,black,no,NA,juvenile,NA
post-treatment,2006-03-17,Panaspis wahlbergii,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,1,funnel,1,black,NA,NA,adult,NA
post-treatment,2006-03-17,Trachylepis varia,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,2,funnel,4,blue,no,NA,adult,NA
post-treatment,2006-03-17,Trachylepis varia,alive,4,-26.542333333333332,28.2002,6A,Burnt,2,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-03-20,Gerrhosaurus flavigularis,alive,1,-26.4976,28.2914,13B,Control,2,funnel,3,black,no,NA,juvenile,NA
post-treatment,2006-03-20,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,4,funnel,7,blue,yes,D2,adult,NA
post-treatment,2006-03-20,Gerrhosaurus flavigularis,alive,2,-26.52485,28.2665,D3,Control,3,funnel,5,black,no,NA,juvenile,NA
post-treatment,2006-03-20,Trachylepis varia,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,1,funnel,1,blue,no,NA,juvenile,NA
post-treatment,2006-03-20,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,1,funnel,1,blue,yes,Z1,adult,NA
post-treatment,2006-03-20,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-20,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,4,funnel,7,blue,no,NA,juvenile,NA
post-treatment,2006-03-20,Trachylepis varia,alive,3,-26.542866666666665,28.2101,Z1,Cut,4,funnel,8,black,no,NA,juvenile,NA
post-treatment,2006-03-20,Psammophis crucifer,alive,4,-26.547416666666667,28.207066666666666,6C,Control,2,funnel,3,blue,NA,NA,adult,NA
post-treatment,2006-03-20,Psammophis crucifer,alive,4,-26.547416666666667,28.207066666666666,6C,Control,3,funnel,5,black,NA,NA,juvenile,NA
post-treatment,2006-03-20,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,1,funnel,2,blue,no,NA,adult,NA
post-treatment,2006-03-20,Trachylepis varia,alive,4,-26.542333333333332,28.2002,6A,Burnt,4,funnel,7,blue,no,NA,juvenile,NA
post-treatment,2006-03-21,Panaspis wahlbergii,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,2,funnel,4,black,NA,NA,adult,NA
post-treatment,2006-03-21,Psammophis crucifer,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,1,funnel,2,black,NA,NA,adult,NA
post-treatment,2006-03-21,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,4,black,no,NA,juvenile,NA
post-treatment,2006-03-21,Panaspis wahlbergii,alive,3,-26.542866666666665,28.2101,Z1,Cut,4,funnel,7,blue,NA,NA,adult,NA
post-treatment,2006-03-21,Psammophis crucifer,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,8,black,NA,NA,juvenile,NA
post-treatment,2006-03-21,Panaspis wahlbergii,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,funnel,7,black,NA,NA,adult,NA
post-treatment,2006-03-22,Trachylepis varia,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-22,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,1,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-03-22,Panaspis wahlbergii,alive,4,-26.542333333333332,28.2002,6A,Burnt,4,bucket,NA,NA,NA,NA,juvenile,NA
post-treatment,2006-03-24,Lycophidion capense,alive,1,-26.4976,28.2914,13B,Control,4,funnel,8,blue,NA,NA,adult,NA
post-treatment,2006-03-24,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,Control,4,funnel,7,blue,no,NA,adult,NA
post-treatment,2006-03-24,Psammophis crucifer,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,3,blue,NA,NA,adult,NA
post-treatment,2006-03-24,Hemachatus haemachatus,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,3,blue,NA,NA,adult,NA
post-treatment,2006-03-24,Trachylepis varia,alive,4,-26.542333333333332,28.2002,6A,Burnt,2,funnel,4,black,yes,6A,juvenile,NA
post-treatment,2006-03-27,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-27,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,funnel,7,black,no,NA,adult,NA
post-treatment,2006-03-27,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,funnel,7,black,no,NA,adult,NA
post-treatment,2006-03-27,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,2,funnel,4,black,yes,6C,adult,NA
post-treatment,2006-03-27,Panaspis wahlbergii,alive,4,-26.547416666666667,28.207066666666666,6C,Control,1,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-03-27,Panaspis wahlbergii,alive,3,-26.542866666666665,28.2101,Z1,Cut,1,funnel,1,blue,NA,NA,adult,NA
post-treatment,2006-03-27,Panaspis wahlbergii,alive,3,-26.542866666666665,28.2101,Z1,Cut,4,funnel,7,blue,NA,NA,adult,NA
post-treatment,2006-03-27,Hemachatus haemachatus,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,3,blue,NA,NA,adult,NA
post-treatment,2006-03-27,Hemachatus haemachatus,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-03-27,Gerrhosaurus flavigularis,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,1,funnel,1,blue,no,NA,juvenile,NA
post-treatment,2006-03-27,Trachylepis capensis,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,2,funnel,4,black,NA,NA,juvenile,NA
post-treatment,2006-03-27,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,Control,2,funnel,4,black,yes,D3,adult,NA
post-treatment,2006-03-27,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,1,funnel,2,blue,no,NA,adult,NA
post-treatment,2006-03-27,Gerrhosaurus flavigularis,alive,2,-26.524166666666666,28.2735,D1,Burnt,0,bucket,NA,NA,yes,D2,adult,NA
post-treatment,2006-03-29,Trachylepis capensis,alive,1,-26.500616666666666,28.288283333333332,13A,Cut,4,funnel,7,blue,no,NA,adult,NA
post-treatment,2006-03-29,Lycophidion capense,alive,2,-26.52485,28.2665,D3,Control,1,funnel,1,black,NA,NA,adult,NA
post-treatment,2006-03-29,Psammophis crucifer,alive,3,-26.542866666666665,28.2101,Z1,Cut,1,funnel,1,blue,NA,NA,adult,NA
post-treatment,2006-03-29,Panaspis wahlbergii,alive,3,-26.542866666666665,28.2101,Z1,Cut,4,funnel,8,black,NA,NA,adult,NA
post-treatment,2006-03-29,Psammophis crucifer,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,funnel,7,black,NA,NA,adult,NA
post-treatment,2006-03-29,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-03-29,Trachylepis varia,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-03-30,Trachylepis capensis,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,1,bucket,NA,NA,yes,Z2,adult,NA
