phase,date,species,alive,block,lat,long,trap_site,treatment,arm,trap_type,trap_position,fence_colour,recapture,site_of_first_capture,size_class,truncated_tail
post-treatment,2006-03-30,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,funnel,7,black,yes,6B,juvenile,NA
post-treatment,2006-03-31,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,funnel,7,black,no,NA,juvenile,NA
post-treatment,2006-03-31,Gerrhosaurus flavigularis,alive,2,-26.524166666666666,28.2735,D1,Burnt,4,funnel,7,black,no,NA,juvenile,NA
post-treatment,2006-03-31,Gerrhosaurus flavigularis,alive,1,-26.504683333333332,28.2903,13C,Burnt,4,funnel,8,blue,no,NA,juvenile,NA
post-treatment,2006-04-03,Gerrhosaurus flavigularis,alive,2,-26.524166666666666,28.2735,D1,Burnt,3,bucket,NA,NA,yes,D1,juvenile,NA
post-treatment,2006-04-03,Trachylepis capensis,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,4,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-03,Psammophis crucifer,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,2,funnel,3,blue,NA,NA,adult,NA
post-treatment,2006-04-03,Trachylepis varia,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,4,black,no,NA,adult,NA
post-treatment,2006-04-03,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-03,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,7,black,no,NA,adult,NA
post-treatment,2006-04-03,Panaspis wahlbergii,alive,4,-26.542333333333332,28.2002,6A,Burnt,2,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-04,Trachylepis varia,alive,2,-26.52485,28.2665,D3,Control,3,funnel,6,blue,no,NA,adult,NA
post-treatment,2006-04-04,Panaspis wahlbergii,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,1,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-04,Trachylepis varia,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,4,funnel,8,blue,no,NA,adult,NA
post-treatment,2006-04-04,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,2,funnel,4,black,no,NA,adult,NA
post-treatment,2006-04-04,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,7,black,no,NA,adult,NA
post-treatment,2006-04-04,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,7,black,yes,6C,juvenile,NA
post-treatment,2006-04-04,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-04,Trachylepis varia,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,3,funnel,5,black,no,NA,adult,NA
post-treatment,2006-04-04,Panaspis wahlbergii,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,3,funnel,5,black,NA,NA,adult,NA
post-treatment,2006-04-04,Panaspis wahlbergii,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,3,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-05,Trachylepis varia,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,1,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-05,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-05,Panaspis wahlbergii,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,0,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-05,Trachylepis capensis,alive,4,-26.542333333333332,28.2002,6A,Burnt,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-06,Trachylepis capensis,alive,1,-26.4976,28.2914,13B,Control,4,funnel,7,black,yes,13B,adult,NA
post-treatment,2006-04-06,Causus rhombeatus,alive,1,-26.4976,28.2914,13B,Control,1,funnel,1,blue,NA,NA,juvenile,NA
post-treatment,2006-04-06,Trachylepis varia,alive,2,-26.52485,28.2665,D3,Control,3,funnel,5,black,no,NA,juvenile,NA
post-treatment,2006-04-06,Trachylepis varia,alive,2,-26.52485,28.2665,D3,Control,3,funnel,6,blue,no,NA,adult,NA
post-treatment,2006-04-06,Trachylepis varia,alive,2,-26.52485,28.2665,D3,Control,4,funnel,8,black,no,NA,juvenile,NA
post-treatment,2006-04-06,Panaspis wahlbergii,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,0,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-06,Panaspis wahlbergii,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,1,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-06,Trachylepis varia,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,1,funnel,1,blue,no,NA,juvenile,NA
post-treatment,2006-04-06,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,Cut,4,funnel,8,black,NA,NA,adult,NA
post-treatment,2006-04-06,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,3,funnel,6,blue,no,NA,juvenile,NA
post-treatment,2006-04-06,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-06,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-06,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-07,Pseudaspis cana,alive,1,-26.4976,28.2914,13B,Control,2,funnel,4,blue,NA,NA,juvenile,NA
post-treatment,2006-04-07,Trachylepis varia,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,4,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-07,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-07,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,1,funnel,1,black,yes,6C,adult,NA
post-treatment,2006-04-07,Panaspis wahlbergii,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,7,black,NA,NA,adult,NA
post-treatment,2006-04-07,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,2,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-07,Trachylepis varia,alive,4,-26.542333333333332,28.2002,6A,Burnt,2,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-09,Gerrhosaurus flavigularis,alive,1,-26.4976,28.2914,13B,Control,3,funnel,5,black,no,NA,juvenile,NA
post-treatment,2006-04-09,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,1,funnel,2,blue,no,NA,adult,NA
post-treatment,2006-04-09,Gerrhosaurus flavigularis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,4,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-09,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,Control,1,funnel,1,black,yes,D3,adult,NA
post-treatment,2006-04-09,Trachylepis capensis,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,1,funnel,1,black,no,NA,adult,NA
post-treatment,2006-04-09,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,1,funnel,1,blue,no,NA,juvenile,NA
post-treatment,2006-04-09,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,Cut,4,funnel,8,black,no,NA,adult,NA
post-treatment,2006-04-09,Hemachatus haemachatus,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,4,black,NA,NA,adult,NA
post-treatment,2006-04-09,Psammophis crucifer,alive,4,-26.547416666666667,28.207066666666666,6C,Control,2,funnel,4,black,NA,NA,adult,NA
post-treatment,2006-04-09,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,3,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-09,Trachylepis varia,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,funnel,8,blue,no,NA,juvenile,NA
post-treatment,2006-04-09,Trachylepis capensis,alive,4,-26.542333333333332,28.2002,6A,Burnt,3,funnel,5,black,no,NA,juvenile,NA
post-treatment,2006-04-11,Panaspis wahlbergii,alive,1,-26.4976,28.2914,13B,Control,1,funnel,2,black,NA,NA,adult,NA
post-treatment,2006-04-11,Panaspis wahlbergii,alive,2,-26.524166666666666,28.2735,D1,Burnt,4,funnel,7,black,NA,NA,adult,NA
post-treatment,2006-04-11,Panaspis wahlbergii,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,2,funnel,3,black,NA,NA,adult,NA
post-treatment,2006-04-11,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,Cut,4,funnel,7,blue,yes,Z1,adult,NA
post-treatment,2006-04-11,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,3,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-11,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-11,Panaspis wahlbergii,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,0,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-11,Panaspis wahlbergii,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,1,funnel,2,blue,NA,NA,adult,NA
post-treatment,2006-04-11,Trachylepis varia,alive,4,-26.542333333333332,28.2002,6A,Burnt,4,funnel,8,black,NA,NA,juvenile,NA
post-treatment,2006-04-13,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,3,funnel,3,blue,yes,D2,adult,NA
post-treatment,2006-04-13,Panaspis wahlbergii,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,3,funnel,6,black,NA,NA,adult,NA
post-treatment,2006-04-13,Trachylepis varia,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,3,blue,no,NA,juvenile,NA
post-treatment,2006-04-13,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,Burnt,2,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-14,Gerrhosaurus flavigularis,alive,2,-26.524166666666666,28.2735,D1,Burnt,2,funnel,3,blue,no,NA,juvenile,NA
post-treatment,2006-04-14,Trachylepis varia,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,1,bucket,NA,NA,yes,Z2,adult,NA
post-treatment,2006-04-14,Trachylepis varia,alive,3,-26.542866666666665,28.2101,Z1,Cut,1,funnel,1,blue,no,NA,adult,NA
post-treatment,2006-04-14,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,Cut,1,funnel,2,black,yes,Z1,adult,NA
post-treatment,2006-04-14,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-14,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-18,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,Burnt,2,funnel,3,blue,no,NA,adult,NA
post-treatment,2006-04-18,Trachylepis capensis,alive,2,-26.524166666666666,28.2735,D1,Burnt,4,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-18,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,0,bucket,NA,NA,yes,D2,adult,NA
post-treatment,2006-04-18,Panaspis wahlbergii,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,4,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-18,Trachylepis capensis,dead,3,-26.543866666666666,28.215683333333335,Z2,Control,0,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-18,Trachylepis varia,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,3,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-18,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-18,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,0,bucket,NA,NA,yes,6C,juvenile,NA
post-treatment,2006-04-18,Trachylepis capensis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,7,black,no,NA,juvenile,NA
post-treatment,2006-04-18,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,2,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-18,Panaspis wahlbergii,alive,4,-26.542333333333332,28.2002,6A,Burnt,1,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-19,Panaspis wahlbergii,alive,1,-26.4976,28.2914,13B,Control,1,funnel,2,black,NA,NA,adult,NA
post-treatment,2006-04-19,Bitis arietans arietans,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,1,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-19,Trachylepis capensis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,2,funnel,3,black,no,NA,adult,NA
post-treatment,2006-04-19,Trachylepis varia,alive,2,-26.52485,28.2665,D3,Control,1,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-19,Trachylepis varia,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,3,funnel,6,black,yes,Z2,adult,NA
post-treatment,2006-04-19,Trachylepis varia,alive,3,-26.542866666666665,28.2101,Z1,Cut,4,funnel,8,black,no,NA,adult,NA
post-treatment,2006-04-19,Panaspis wahlbergii,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-19,Gerrhosaurus flavigularis,alive,4,-26.542333333333332,28.2002,6A,Burnt,2,funnel,4,black,no,NA,juvenile,NA
post-treatment,2006-04-20,Trachylepis varia,alive,1,-26.500616666666666,28.288283333333332,13A,Cut,4,funnel,7,blue,no,NA,adult,NA
post-treatment,2006-04-20,Trachylepis varia,alive,2,-26.524166666666666,28.2735,D1,Burnt,1,funnel,2,black,no,NA,adult,NA
post-treatment,2006-04-20,Gerrhosaurus flavigularis,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,1,funnel,1,black,no,NA,adult,NA
post-treatment,2006-04-20,Trachylepis varia,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,4,funnel,7,blue,yes,Z3,adult,NA
post-treatment,2006-04-20,Panaspis wahlbergii,alive,3,-26.543866666666666,28.215683333333335,Z2,Control,0,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-20,Trachylepis varia,alive,3,-26.542866666666665,28.2101,Z1,Cut,0,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-20,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,3,funnel,6,blue,yes,6B,adult,NA
post-treatment,2006-04-20,Panaspis wahlbergii,alive,4,-26.542333333333332,28.2002,6A,Burnt,4,funnel,8,black,NA,NA,adult,NA
post-treatment,2006-04-20,Trachylepis varia,alive,4,-26.542333333333332,28.2002,6A,Burnt,1,funnel,2,black,no,NA,adult,NA
post-treatment,2006-04-21,Bitis arietans arietans,alive,1,-26.4976,28.2914,13B,Control,1,bucket,NA,NA,NA,NA,adult,NA
post-treatment,2006-04-21,Panaspis wahlbergii,alive,1,-26.4976,28.2914,13B,Control,1,funnel,2,black,NA,NA,adult,NA
post-treatment,2006-04-21,Bitis arietans arietans,alive,2,-26.52485,28.2665,D3,Control,1,bucket,NA,NA,NA,NA,juvenile,NA
post-treatment,2006-04-21,Trachylepis capensis,alive,2,-26.52485,28.2665,D3,Control,1,funnel,1,black,no,NA,adult,NA
post-treatment,2006-04-21,Bitis arietans arietans,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,4,funnel,7,blue,NA,NA,adult,NA
post-treatment,2006-04-21,Panaspis wahlbergii,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,3,blue,NA,NA,adult,NA
post-treatment,2006-04-21,Gerrhosaurus flavigularis,alive,4,-26.547416666666667,28.207066666666666,6C,Control,3,funnel,5,black,no,NA,juvenile,NA
post-treatment,2006-04-21,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,4,bucket,NA,NA,yes,6B,adult,NA
post-treatment,2006-04-22,Gerrhosaurus flavigularis,alive,2,-26.52391666666667,28.26931666666667,D2,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-22,Bitis arietans arietans,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,2,funnel,4,black,NA,NA,adult,NA
post-treatment,2006-04-25,Trachylepis capensis,alive,4,-26.542333333333332,28.2002,6A,Burnt,2,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-25,Trachylepis varia,alive,4,-26.542333333333332,28.2002,6A,Burnt,2,bucket,NA,NA,no,NA,adult,NA
post-treatment,2006-04-25,Psammophylax rhombeatus,alive,4,-26.547416666666667,28.207066666666666,6C,Control,4,funnel,7,black,NA,NA,adult,NA
post-treatment,2006-04-25,Gerrhosaurus flavigularis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,0,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-25,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,1,bucket,NA,NA,yes,6B,adult,NA
post-treatment,2006-04-25,Trachylepis capensis,alive,4,-26.548866666666665,28.203833333333332,6B,Cut,3,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-25,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,Cut,2,funnel,4,NA,no,NA,juvenile,NA
post-treatment,2006-04-25,Gerrhosaurus flavigularis,alive,3,-26.542866666666665,28.2101,Z1,Cut,3,funnel,6,NA,yes,Z1,adult,NA
post-treatment,2006-04-25,Trachylepis capensis,alive,3,-26.542866666666665,28.2101,Z1,Cut,1,bucket,NA,NA,no,NA,juvenile,NA
post-treatment,2006-04-25,Bitis arietans arietans,alive,3,-26.542916666666667,28.227166666666665,Z3,Burnt,4,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2005-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2005-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2006-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre-treatment,2006-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-02-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-02-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
post-treatment,2006-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
